plan_id,name,metal_tier,monthly_premium,deductible,oop_max,coinsurance_rate,pcp_copay,effective_year
PLN0001,DarkOliveGreen Silver 2025,Silver,406.25,3850,6750,0.3,35,2025
PLN0002,Bisque Bronze 2025,Bronze,410.47,7700,8100,0.4,45,2025
PLN0003,LightSalmon Silver 2025,Silver,407.95,3250,6650,0.3,35,2025
PLN0004,LemonChiffon Bronze 2025,Bronze,390.3,7750,8300,0.4,45,2025
PLN0005,Ivory Silver 2025,Silver,575.33,4300,6700,0.3,35,2025
PLN0006,DarkSlateGray Silver 2025,Silver,469.55,3000,6500,0.3,35,2025
PLN0007,DarkKhaki Silver 2025,Silver,485.06,3450,6650,0.3,35,2025
PLN0008,YellowGreen Platinum 2025,Platinum,967.81,100,2700,0.1,15,2025
PLN0009,DarkCyan Bronze 2025,Bronze,427.12,7900,8400,0.4,45,2025
PLN0010,Peru Gold 2025,Gold,818.92,1850,3350,0.2,25,2025
PLN0011,BlanchedAlmond Platinum 2025,Platinum,982.49,850,2400,0.1,15,2025
PLN0012,Black Gold 2025,Gold,785.56,2350,4150,0.2,25,2025
PLN0013,DarkGoldenRod Silver 2025,Silver,576.14,3100,6700,0.3,35,2025
PLN0014,IndianRed Gold 2025,Gold,895.57,2350,3700,0.2,25,2025
PLN0015,Lavender Gold 2025,Gold,714.04,1700,5000,0.2,25,2025
PLN0016,Tan Gold 2025,Gold,648.8,1550,3650,0.2,25,2025
PLN0017,Bisque Silver 2025,Silver,575.46,3200,7900,0.3,35,2025
PLN0018,Gray Silver 2025,Silver,533.53,3750,6500,0.3,35,2025
PLN0019,YellowGreen Silver 2025,Silver,467.49,5000,7750,0.3,35,2025
PLN0020,PeachPuff Bronze 2025,Bronze,348.64,6150,8350,0.4,45,2025
